"Game","ReleaseDate","Genre","TotalEarnings","OnlineEarnings","TotalPlayers","TotalTournaments"
"Rainbow Six: Vegas 2","2008","First-Person Shooter",79000,79000,0,8
"Realm Royale","2018","First-Person Shooter",263000,0,47,9
"Reflex","2015","First-Person Shooter",2458.37,163.66,24,9
"Resistance 2","2008","First-Person Shooter",50400,0,194,1
"Resistance 2","2008","First-Person Shooter",0,0,0,0
"Return to Castle Wolfenstein","2001","First-Person Shooter",113424.3,113424.3,50,3
"Rust","2013","First-Person Shooter",0,0,0,0
"S.K.I.L.L. - Special Force 2","2013","First-Person Shooter",147532.93,131555.81,97,22
"S.T.A.L.K.E.R.: Shadow of Chernobyl","2007","First-Person Shooter",4901.26,4901.26,0,1
"Shadowrun","2007","First-Person Shooter",24000,24000,0,3
"ShootMania Storm","2013","First-Person Shooter",262090.69,258286.5,108,43
"Snapshot VR","2020","First-Person Shooter",1000,0,15,2
"Space Junkies","2019","First-Person Shooter",30420,24600,33,4
"Special Force","2004","First-Person Shooter",130250,130250,0,3
"Splatoon","2015","First-Person Shooter",1390,0,3,4
"Splatoon 2","2017","First-Person Shooter",8930,8630,13,6
"Star Wars Jedi Knight II: Jedi Outcast","2002","First-Person Shooter",7679.25,7679.25,0,1
"Sudden Attack","2005","First-Person Shooter",0,0,0,0
"Team Fortress 2","2007","First-Person Shooter",728491.34,401759.73,1367,199
"Tower Tag","2020","First-Person Shooter",5170.41,0,25,5
"Uncharted 4: A Thief's End","2016","First-Person Shooter",46235.07,46235.07,5,1
"Unreal Tournament","1999","First-Person Shooter",89000,89000,14,5
"Unreal Tournament (2016)","2016","First-Person Shooter",5084.97,0,82,8
"Unreal Tournament 2003","2002","First-Person Shooter",147473.91,147473.91,33,14
"Unreal Tournament 2004","2004","First-Person Shooter",152421.78,151871.78,54,14
"Unreal Tournament 3","2007","First-Person Shooter",104977.82,104977.82,7,4
"Vail VR","2022","First-Person Shooter",0,0,0,0
"VAIL VR","2022","First-Person Shooter",36000,35000,30,2
"VALORANT","2020","First-Person Shooter",17404393.18,7215636.38,5408,1007
"Warface","2013","First-Person Shooter",109555,109555,32,2
"Warsow","2012","First-Person Shooter",183,0,2,1
"Wolfenstein: Enemy Territory","2003","First-Person Shooter",140963.24,138376.87,152,18
"Xonotic","2010","First-Person Shooter",14935.01,26.07,96,44
"Zombieland VR: Headshot Fever","2021","First-Person Shooter",10000,0,4,1
"Zula","2015","First-Person Shooter",1e+05,1e+05,20,1
"Zula","2015","First-Person Shooter",0,0,0,0
"Arena of Valor","2015","Multiplayer Online Battle Arena",70666829.33,66647703.57,1854,145
"Battlerite","2016","Multiplayer Online Battle Arena",65173.45,28000,86,75
"Blankos Block Party","2020","Multiplayer Online Battle Arena",250,0,3,1
"Bloodline Champions","2011","Multiplayer Online Battle Arena",41905.32,40850,43,12
"Crab Game","2021","Multiplayer Online Battle Arena",45950,44000,32,11
"Creative Destruction","2018","Multiplayer Online Battle Arena",1e+05,0,8,1
"Defense of the Ancients","2003","Multiplayer Online Battle Arena",857420.65,829658.68,468,94
"Dofus","2004","Multiplayer Online Battle Arena",0,0,0,0
"Dota 2","2013","Multiplayer Online Battle Arena",314915846.42,281406266.96,4683,1784
"Heavy Metal Machines","2017","Multiplayer Online Battle Arena",12339.33,0,35,1
"Heroes of Newerth","2010","Multiplayer Online Battle Arena",3073445.72,1722436.17,820,395
"Heroes of the Storm","2015","Multiplayer Online Battle Arena",18444127.19,14249535.64,1317,498
"Hyper Scape","2020","Multiplayer Online Battle Arena",299000,0,260,4
"League of Legends","2009","Multiplayer Online Battle Arena",101662548.39,88341618.68,8999,2835
"League of Legends: Wild Rift","2021","Multiplayer Online Battle Arena",8326779.92,6131093.33,1368,101
"Legend of Glory","2015","Multiplayer Online Battle Arena",472.66,0,0,1
"Minecraft","2011","Multiplayer Online Battle Arena",1690377.15,104000,495,84
"MOBA Legends","2016","Multiplayer Online Battle Arena",225,0,3,1
"Mobile Legends: Bang Bang","2016","Multiplayer Online Battle Arena",8756148.86,7414524.59,1360,93
"Onmyoji Arena","2018","Multiplayer Online Battle Arena",89679.22,89679.22,5,1
"Pokemon Unite","2021","Multiplayer Online Battle Arena",775500,545500,228,12
"Roblox","2006","Multiplayer Online Battle Arena",0,0,0,0
"Shards of War","2015","Multiplayer Online Battle Arena",1029.21,0,20,1
"SMITE","2014","Multiplayer Online Battle Arena",9250112.75,7872832.57,542,97
"Splitgate: Arena Warfare","2019","Multiplayer Online Battle Arena",50000,0,64,2
"Teeworlds","2007","Multiplayer Online Battle Arena",0,0,0,0
"Vainglory","2014","Multiplayer Online Battle Arena",937421.19,836825.87,262,36
"Blade & Soul","2012","Role-Playing Game",679006.26,679006.26,89,7
"Cave Digger 2","2021","Role-Playing Game",750,0,4,1
"Chivalry 2","2021","Role-Playing Game",0,0,0,0
"Guild Wars 2","2012","Role-Playing Game",476005.5,350000,152,57
"Naraka: Bladepoint","2021","Role-Playing Game",2908130.52,2473700,138,12
"Old School Runescape","2013","Role-Playing Game",457504.2,28500,84,26
"Red Stone","2004","Role-Playing Game",58000,58000,12,2
"Stardew Valley","2016","Role-Playing Game",97850,0,69,3
"World of WarCraft","2004","Role-Playing Game",8070537.61,5081388.91,488,202
"Acceleration of SUGURI 2","2018","Fighting Game",410,210,8,3
"Akatsuki Blitzkampf","2007","Fighting Game",20,0,3,1
"Aquapazza: Aquaplus Dream Match","2011","Fighting Game",245,245,5,2
"Arcana Heart 3","2009","Fighting Game",1000,1000,4,1
"Arcana Heart 3: Love Max Six Stars!!!!!","2014","Fighting Game",570,520,8,4
"Arcana Heart 3: LOVE MAX!!!!!","2013","Fighting Game",410,410,6,2
"ARMS","2017","Fighting Game",21902.46,13672.93,126,104
"Asuka 120% LimitOver BURNING Fest.","1998","Fighting Game",10,0,3,1
"Attack on Titan Tribute Game","2013","Fighting Game",108650,0,21,15
"BlazBlue: Calamity Trigger","2008","Fighting Game",35,35,3,1
"BlazBlue: Central Fiction","2015","Fighting Game",88273.21,87976.37,106,47
"BlazBlue: Chronophantasma","2012","Fighting Game",37020.58,37020.58,63,15
"BlazBlue: Chronophantasma Extend","2015","Fighting Game",4918.77,4918.77,28,11
"BlazBlue: Continuum Shift Extend","2011","Fighting Game",0,0,3,1
"BlazBlue: Continuum Shift II","2010","Fighting Game",24591.01,24591.01,14,5
"BlazBlue: Cross Tag Battle","2018","Fighting Game",97872.7,95624.31,128,42
"Brawlhalla","2015","Fighting Game",3616177.83,844264.04,850,664
"Brawlout","2017","Fighting Game",0,0,0,0
"Breakers Revenge","1998","Fighting Game",16,0,3,1
"Capcom vs. SNK","2000","Fighting Game",140,140,6,2
"Capcom vs. SNK 2","2001","Fighting Game",24976.79,24976.79,38,22
"Chaos Code: New Sign of Catastrophe","2013","Fighting Game",140,140,3,1
"Dead or Alive 4","2005","Fighting Game",497745.31,497745.31,45,13
"Dead or Alive 5","2012","Fighting Game",0,0,4,2
"Dead or Alive 5 Ultimate","2013","Fighting Game",0,0,37,7
"Dead or Alive 5: Last Round","2015","Fighting Game",15413.82,15413.82,46,20
"Dead or Alive 6","2019","Fighting Game",64742.54,63632.54,67,21
"Dead or Alive Ultimate","2004","Fighting Game",30000,30000,3,1
"Def Jam: Fight for NY","2004","Fighting Game",550,360,6,3
"Dengeki Bunko: Fighting Climax","2014","Fighting Game",60,60,3,1
"Dengeki Bunko: Fighting Climax Ignition","2015","Fighting Game",3852.8,3667.3,40,14
"Digimon Rumble Arena","2001","Fighting Game",200,0,5,2
"Divekick","2013","Fighting Game",5840,5840,27,11
"DNF Duel","2022","Fighting Game",28595.48,27595.48,49,11
"Dragon Ball FighterZ","2018","Fighting Game",421903.14,399006.64,270,163
"Dragon Ball Z: Budokai 3","2004","Fighting Game",204.06,204.06,3,1
"Duck Game","2014","Fighting Game",750,0,5,2
"Eternal Fighter Zero","2000","Fighting Game",1311.6,0,7,2
"Fantasy Strike","2019","Fighting Game",5799.8,2610,21,5
"Fight of Animals","2019","Fighting Game",630.68,0,9,4
"Fighter's History Dynamite","1994","Fighting Game",195,195,3,1
"Fighting EX Layer","2018","Fighting Game",1642.96,1632.96,16,7
"Garou: Mark of the Wolves","1999","Fighting Game",658.71,513.71,13,4
"Granblue Fantasy: Versus","2020","Fighting Game",186825.88,152754.77,118,84
"Guilty Gear","1998","Fighting Game",32,32,3,1
"Guilty Gear -STRIVE-","2021","Fighting Game",222732.88,143489.56,226,65
"Guilty Gear Xrd -REVELATOR-","2016","Fighting Game",36437.43,36437.43,61,19
"Guilty Gear Xrd -SIGN-","2014","Fighting Game",37445.66,37445.66,80,38
"Guilty Gear Xrd REV 2","2017","Fighting Game",126399.3,126204.3,126,61
"Guilty Gear XX","2002","Fighting Game",0,0,5,2
"Guilty Gear XX #Reload","2003","Fighting Game",0,0,3,1
"Guilty Gear XX Accent Core","2007","Fighting Game",10365,10365,33,4
"Guilty Gear XX Accent Core Plus","2008","Fighting Game",0,0,3,1
"Guilty Gear XX Accent Core Plus R","2012","Fighting Game",14702.14,6430,82,30
"Guilty Gear XX Slash","2005","Fighting Game",10250,10250,6,2
"Hokuto no Ken","2005","Fighting Game",145,145,3,1
"Hyper Street Fighter II","2003","Fighting Game",10250,10250,8,1
"HYPERFIGHT","2019","Fighting Game",140,0,4,2
"Injustice 2","2017","Fighting Game",837447.16,836014.57,81,38
"Injustice: Gods Among Us","2013","Fighting Game",35176.89,35176.89,101,117
"JoJo's Bizarre Adventure: All Star Battle R","2022","Fighting Game",780,780,8,1
"JoJo's Bizarre Adventure: Heritage for the Future","1999","Fighting Game",324.99,0,8,3
"Kill la Kill the Game: IF","2019","Fighting Game",920,770,12,4
"Killer Instinct (2013)","2013","Fighting Game",226323.54,226253.54,132,57
"King of Fighters 2002 Unlimited Match","2009","Fighting Game",760,760,6,2
"King of Fighters 98","1998","Fighting Game",7945.57,7945.57,7,3
"King of Fighters XI","2005","Fighting Game",25,25,3,1
"King of Fighters XIII","2010","Fighting Game",45444.28,45444.28,106,43
"King of Fighters XIV","2016","Fighting Game",74402.09,73542.09,89,39
"King of Fighters XV","2022","Fighting Game",75689.51,49006.09,137,28
"Kirby Fighters 2","2020","Fighting Game",222.86,0,4,1
"Koihime Enbu","2016","Fighting Game",1765,1615,14,7
"Lethal League Blaze","2018","Fighting Game",5643.92,1677.75,25,12
"Maiden & Spell","2020","Fighting Game",325,0,5,2
"Marvel vs. Capcom 2","2000","Fighting Game",39279.73,39269.73,68,29
"Marvel vs. Capcom 3","2011","Fighting Game",22343.62,22343.62,38,12
"Marvel vs. Capcom: Infinite","2017","Fighting Game",76256.72,76202.12,60,22
"Melty Blood: Actress Again","2009","Fighting Game",0,0,10,2
"Melty Blood: Actress Again Current Code","2010","Fighting Game",11429.93,8665,68,24
"Melty Blood: Type Lumina","2021","Fighting Game",12842.49,12842.49,44,11
"Mighty Fight Federation","2021","Fighting Game",100,0,3,1
"Million Arthur: Arcana Blood","2017","Fighting Game",7540,7530,12,4
"Mordhau","2019","Fighting Game",16623,0,40,3
"Mortal Kombat 11","2019","Fighting Game",576390.54,494128.34,233,60
"Mortal Kombat 9","2011","Fighting Game",136891.67,136891.67,67,26
"Mortal Kombat vs. DC Universe","2008","Fighting Game",0,0,3,1
"Mortal Kombat X","2015","Fighting Game",563532.42,563532.42,100,62
"Mortal Kombat XL","2016","Fighting Game",134203.79,129203.79,55,18
"MultiVersus","2022","Fighting Game",114202.5,100151.5,59,10
"Mystery Game Tournament","2019","Fighting Game",10995,10995,56,8
"Naruto Shippuden: Ultimate Ninja Storm 4","2016","Fighting Game",4550,2000,7,5
"Naruto: Gekitou Ninja Taisen! 4","2005","Fighting Game",200,0,3,1
"Ninja Legends","2019","Fighting Game",1000,0,6,1
"Nitroplus Blasterz: Heroines Infinite Duel","2015","Fighting Game",1994,1994,10,4
"Persona 4 Arena","2012","Fighting Game",6336.63,6336.63,42,11
"Persona 4 Arena Ultimax","2013","Fighting Game",20268.16,20268.16,64,21
"Pocket Bravery","2022","Fighting Game",452.35,452.35,3,1
"Pocket Rumble","2016","Fighting Game",185,0,5,2
"Pokkén Tournament","2016","Fighting Game",77216.66,76971.66,65,26
"Pokkén Tournament DX","2017","Fighting Game",22125.4,21914,44,28
"Power Instinct: Matrimelee","2002","Fighting Game",90,0,5,2
"Power Rangers: Battle for the Grid","2019","Fighting Game",6746.8,3086.2,26,12
"Power Rangers: Legacy Wars","2017","Fighting Game",4178.55,4178.55,2,1
"Project Justice","2000","Fighting Game",165,165,3,1
"Project M","2010","Fighting Game",205292.09,205292.09,560,335
"Project Plus","2019","Fighting Game",195,0,6,2
"Punch Planet","2017","Fighting Game",400,0,6,2
"Red Earth","1996","Fighting Game",100,0,3,1
"Rising Thunder","2015","Fighting Game",1000,1000,3,1
"Rivals of Aether","2015","Fighting Game",40314.85,37783.23,57,23
"Roof Rage","2019","Fighting Game",50,0,3,1
"Rushdown Revolt","2021","Fighting Game",4160.09,0,31,18
"Sailor Moon S","1995","Fighting Game",3281.19,3271.19,20,12
"Samurai Shodown (2019)","2019","Fighting Game",77983.31,77858.31,75,20
"Samurai Shodown III","1995","Fighting Game",70,0,5,2
"Samurai Shodown V Special","2004","Fighting Game",590.57,490.11,15,5
"Schwarzerblitz","2020","Fighting Game",200,0,5,2
"Sekiro: Shadows Die Twice","2019","Fighting Game",19596,0,20,1
"Shovel Knight Showdown","2019","Fighting Game",60,60,3,1
"Shrek SuperSlam","2005","Fighting Game",80,0,4,2
"Skullgirls","2012","Fighting Game",300,300,3,1
"Skullgirls 2nd Encore","2015","Fighting Game",55643.02,22081,73,24
"Skullgirls Encore","2014","Fighting Game",9155.4,9155.4,37,13
"Slap City","2018","Fighting Game",600,0,5,2
"SLAYERS FOR HIRE","2020","Fighting Game",600,0,8,2
"Smash Remix","2019","Fighting Game",299.06,0,4,1
"SNK Heroines: Tag Team Frenzy","2018","Fighting Game",430,430,3,1
"Soul Calibur II","2003","Fighting Game",4980,4980,17,8
"Soul Calibur II HD Online","2013","Fighting Game",945.41,945.41,29,5
"Soul Calibur IV","2008","Fighting Game",260,260,3,2
"Soul Calibur V","2012","Fighting Game",60428.54,60428.54,73,27
"Soul Calibur VI","2018","Fighting Game",176687.27,159013.28,127,71
"Street Fighter Alpha 2","1996","Fighting Game",2944.69,1830,24,11
"Street Fighter Alpha 3","1998","Fighting Game",340,340,16,5
"Street Fighter EX2 Plus","1999","Fighting Game",350,350,5,2
"Street Fighter III: 3rd Strike","1999","Fighting Game",54341.18,52643.96,108,45
"Street Fighter IV","2009","Fighting Game",7938.22,7938.22,41,12
"Street Fighter V","2016","Fighting Game",2266156.94,2217656.94,282,130
"Street Fighter V: Arcade Edition","2018","Fighting Game",2263945.95,2263095.95,235,104
"Street Fighter V: Champion Edition","2020","Fighting Game",891040.67,350558.21,263,148
"Street Fighter X Tekken","2012","Fighting Game",84090.64,83229.34,115,93
"Super Smash Bros.","1999","Fighting Game",68832.81,68692.81,238,126
"Super Smash Bros. Brawl","2008","Fighting Game",248100.83,248100.83,509,348
"Super Smash Bros. for Wii U","2014","Fighting Game",1515451.47,1512816.47,1280,1035
"Super Smash Bros. Melee","2001","Fighting Game",3575744.32,3481124.55,1935,2646
"Super Smash Bros. Ultimate","2018","Fighting Game",2415685.4,2031650.52,2334,1665
"Super Street Fighter II Turbo","1994","Fighting Game",25646.29,25646.29,114,51
"Super Street Fighter II Turbo HD Remix","2008","Fighting Game",16360,16360,29,8
"Super Street Fighter IV","2010","Fighting Game",30229.3,20877.3,43,18
"Super Street Fighter IV Arcade Edition","2010","Fighting Game",355586.67,355586.67,154,204
"Tatsunoko vs. Capcom: Ultimate All-Stars","2010","Fighting Game",2771.76,1330.81,16,16
"Teenage Mutant Ninja Turtles: Tournament Fighters","1993","Fighting Game",820,820,7,2
"Tekken 4","2001","Fighting Game",12500,12500,4,4
"Tekken 5","2004","Fighting Game",10250,10250,10,9
"Tekken 5: Dark Resurrection","2006","Fighting Game",12180,12180,18,5
"Tekken 6","2007","Fighting Game",119874.64,119874.64,61,29
"Tekken 7","2015","Fighting Game",2529487.33,2266636.22,575,388
"Tekken Tag Tournament","1999","Fighting Game",0,0,7,4
"Tekken Tag Tournament 2","2011","Fighting Game",118501.3,118501.3,151,140
"The Last Blade 2","1998","Fighting Game",60,0,4,2
"The Unspoken","2018","Fighting Game",38824.08,38824.08,7,4
"Them's Fightin' Herds","2018","Fighting Game",4578.19,530,28,29
"Toribash","2006","Fighting Game",100,0,3,1
"Tough Love Arena","2021","Fighting Game",100,0,3,1
"Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe","2009","Fighting Game",4501.52,220,18,6
"TowerFall: Ascension","2013","Fighting Game",0,0,0,0
"Ultimate Marvel vs. Capcom 3","2011","Fighting Game",149179.59,147052.24,209,186
"Ultimate Mortal Kombat 3","1995","Fighting Game",150,150,6,2
"Ultra Fight Da! Kyanta 2","2019","Fighting Game",320,320,3,1
"Ultra Street Fighter IV","2014","Fighting Game",818394.62,818354.62,242,233
"Umineko: Golden Fantasia","2010","Fighting Game",190,90,9,3
